text,intent
bikin udang gulai buat asam urat tanpa garam,cari_resep_kompleks
bedanya rica rica sama rendang,tanya_informasi
ada diet ga boleh apa,informasi_kondisi_kesehatan
pengen cumi empuk ga pake keju,cari_resep_kompleks
saya punya kolesterol,informasi_kondisi_kesehatan
cara kukus yang benar gimana,tanya_informasi
pengen ayam bakar,cari_resep
pengen salmon empuk ga pake minyak,cari_resep_kompleks
cariin resep ayam,cari_resep
resep nasi asam,cari_resep
kalori kambing berapa,tanya_informasi
cumi bakar tanpa gula untuk kolesterol,cari_resep_kompleks
mau masak telur yang bakar,cari_resep
cumi kandungannya apa,tanya_informasi
pengen bikin brokoli,cari_resep
resep kentang renyah,cari_resep
ada resep ayam ga,cari_resep
bikin jagung kukus buat asam urat tanpa gula,cari_resep_kompleks
mau masak ikan yang goreng tapi tanpa kacang,cari_resep_kompleks
gimana cara masak tuna,cari_resep
pengganti udang,tanya_alternatif
pengen bihun crispy ga pake msg,cari_resep_kompleks
resep daging tumis yang segar,cari_resep_kompleks
kalori salmon berapa,tanya_informasi
lagi diet nih,informasi_kondisi_kesehatan
resep mie gurih,cari_resep
alergi pantangannya apa,informasi_kondisi_kesehatan
bedanya rendang sama rendang,tanya_informasi
mau masak telor,cari_resep
alternatif tahu apa ya,tanya_alternatif
cara rebus yang benar gimana,tanya_informasi
cara bakar yang benar gimana,tanya_informasi
gimana cara masak tuna,cari_resep
nasi bisa diganti apa,tanya_alternatif
mau telur yang pedas dan bakar ga boleh tepung,cari_resep_kompleks
punya kolesterol boleh makan apa,informasi_kondisi_kesehatan
alternatif bayam apa ya,tanya_alternatif
cariin resep ayam,cari_resep
saya punya alergi,informasi_kondisi_kesehatan
ada resep kentang ga,cari_resep
gimana cara masak jagung,cari_resep
kalori ikan berapa,tanya_informasi
nutrisi ayam,tanya_informasi
pengen bikin nasi,cari_resep
cara panggang yang benar gimana,tanya_informasi
ada resep tuna ga,cari_resep
mau masak cumi yang balado tapi tanpa tepung,cari_resep_kompleks
lagi alergi nih,informasi_kondisi_kesehatan
salmon kandungannya apa,tanya_informasi
mau masak kentang yang kukus tapi tanpa msg,cari_resep_kompleks
bedanya bakar sama kukus,tanya_informasi
cariin resep sapi,cari_resep
ikan rica rica tanpa kacang untuk alergi,cari_resep_kompleks
mau masak salmon,cari_resep
pengganti cumi,tanya_alternatif
resep daging yang enak,cari_resep
ada vegetarian ga boleh apa,informasi_kondisi_kesehatan
kwetiau yang renyah dong,cari_resep
saya punya asam urat,informasi_kondisi_kesehatan
saya punya vegetarian,informasi_kondisi_kesehatan
ga ada cumi bisa pake apa,tanya_alternatif
bedanya rica rica sama oseng,tanya_informasi
alternatif tempe apa ya,tanya_alternatif
kangkung yang lembut dong,cari_resep
pengen telur oseng,cari_resep
hipertensi pantangannya apa,informasi_kondisi_kesehatan
pengen bikin telur,cari_resep
bikin cumi pake gulai,cari_resep
pengen telor tumis,cari_resep
bikin tuna pake gulai,cari_resep
udang kandungannya apa,tanya_informasi
aku diabetes,informasi_kondisi_kesehatan
ada resep sapi ga,cari_resep
cariin resep cumi,cari_resep
mau masak kwetiau yang rica rica,cari_resep
kalori tempe berapa,tanya_informasi
resep tempe rendang yang empuk,cari_resep_kompleks
pengen udang manis ga pake susu,cari_resep_kompleks
nutrisi kambing,tanya_informasi
pengen bikin kambing,cari_resep
bikin ikan pake oseng,cari_resep
halo,chitchat
kolesterol pantangannya apa,informasi_kondisi_kesehatan
aku maag,informasi_kondisi_kesehatan
mau masak bayam yang kukus,cari_resep
resep kambing asam,cari_resep
mau ikan yang crispy dan gulai ga boleh tepung,cari_resep_kompleks
nutrisi bayam,tanya_informasi
aku alergi,informasi_kondisi_kesehatan
alternatif brokoli apa ya,tanya_alternatif
saya punya maag,informasi_kondisi_kesehatan
daging yang lembut dong,cari_resep
mau masak ikan,cari_resep
pengen brokoli renyah ga pake garam,cari_resep_kompleks
resep kangkung yang enak,cari_resep
salmon kandungannya apa,tanya_informasi
lagi alergi nih,informasi_kondisi_kesehatan
pengen bikin telur,cari_resep
pengen mie asam ga pake santan,cari_resep_kompleks
lagi asam urat nih,informasi_kondisi_kesehatan
mau salmon yang renyah dan panggang ga boleh kacang,cari_resep_kompleks
pengganti telur,tanya_alternatif
resep telor asin,cari_resep
ga ada kwetiau bisa pake apa,tanya_alternatif
substitusi mie dengan apa,tanya_alternatif
ada vegetarian ga boleh apa,informasi_kondisi_kesehatan
pengen brokoli kukus,cari_resep
hai,chitchat
mau masak kangkung yang pepes,cari_resep
mau masak tuna,cari_resep
substitusi nasi dengan apa,tanya_alternatif
kalori daging berapa,tanya_informasi
ada diet ga boleh apa,informasi_kondisi_kesehatan
pengen bikin brokoli,cari_resep
pengen bikin ikan,cari_resep
udang yang asam dong,cari_resep
resep wortel gurih,cari_resep
substitusi kentang dengan apa,tanya_alternatif
alternatif jagung apa ya,tanya_alternatif
aku maag,informasi_kondisi_kesehatan
mau udang yang gurih dan balado ga boleh gula,cari_resep_kompleks
cara goreng yang benar gimana,tanya_informasi
resep brokoli rebus yang manis,cari_resep_kompleks
maag pantangannya apa,informasi_kondisi_kesehatan
alergi pantangannya apa,informasi_kondisi_kesehatan
gimana cara masak kwetiau,cari_resep
gimana caranya,tanya_informasi
saya punya diet,informasi_kondisi_kesehatan
daging yang renyah dong,cari_resep
lagi kolesterol nih,informasi_kondisi_kesehatan
pengen bikin brokoli,cari_resep
pengganti salmon,tanya_alternatif
mau kangkung yang crispy dan panggang ga boleh minyak,cari_resep_kompleks
lagi diet nih,informasi_kondisi_kesehatan
substitusi mie dengan apa,tanya_alternatif
ga ada kwetiau bisa pake apa,tanya_alternatif
mau kwetiau yang renyah dan tumis ga boleh mentega,cari_resep_kompleks
gimana cara masak tahu,cari_resep
punya hipertensi boleh makan apa,informasi_kondisi_kesehatan
ga ada nasi bisa pake apa,tanya_alternatif
gimana cara masak wortel,cari_resep
ada alergi ga boleh apa,informasi_kondisi_kesehatan
ada resep kambing ga,cari_resep
saya punya asam urat,informasi_kondisi_kesehatan
nutrisi wortel,tanya_informasi
bikin kambing pake rendang,cari_resep
pengen brokoli asin ga pake santan,cari_resep_kompleks
bikin cumi rica rica buat diabetes tanpa mentega,cari_resep_kompleks
tempe balado tanpa tepung untuk diet,cari_resep_kompleks
gimana cara masak jagung,cari_resep
kalori salmon berapa,tanya_informasi
pengen bikin tempe,cari_resep
aku diabetes,informasi_kondisi_kesehatan
pengen tuna renyah ga pake kacang,cari_resep_kompleks
lagi maag nih,informasi_kondisi_kesehatan
bedanya rica rica sama pepes,tanya_informasi
bikin kentang panggang buat maag tanpa mentega,cari_resep_kompleks
ada resep brokoli ga,cari_resep
pengganti tempe,tanya_alternatif
bikin tahu pake bakar,cari_resep
punya kolesterol boleh makan apa,informasi_kondisi_kesehatan
bikin tuna balado buat maag tanpa susu,cari_resep_kompleks
substitusi bihun dengan apa,tanya_alternatif
punya diabetes boleh makan apa,informasi_kondisi_kesehatan
substitusi cumi dengan apa,tanya_alternatif
mau sapi yang crispy dan rendang ga boleh santan,cari_resep_kompleks
bikin cumi bakar buat kolesterol tanpa kacang,cari_resep_kompleks
mau udang yang renyah dan pepes ga boleh mentega,cari_resep_kompleks
resep tuna yang enak,cari_resep
bikin tuna pake bakar,cari_resep
punya hipertensi boleh makan apa,informasi_kondisi_kesehatan
cara rendang yang benar gimana,tanya_informasi
resep ikan yang enak,cari_resep
ga ada kambing bisa pake apa,tanya_alternatif
nutrisi kentang,tanya_informasi
resep tahu bakar yang asin,cari_resep_kompleks
mau brokoli yang gurih dan panggang ga boleh gula,cari_resep_kompleks
cariin resep wortel,cari_resep
oke,chitchat
punya maag boleh makan apa,informasi_kondisi_kesehatan
ada vegetarian ga boleh apa,informasi_kondisi_kesehatan
pengganti ayam,tanya_alternatif
alternatif ayam apa ya,tanya_alternatif
bikin telor rendang buat hipertensi tanpa kacang,cari_resep_kompleks
jagung rica rica tanpa tepung untuk kolesterol,cari_resep_kompleks
resep kwetiau tumis yang asin,cari_resep_kompleks
substitusi tahu dengan apa,tanya_alternatif
punya asam urat boleh makan apa,informasi_kondisi_kesehatan
gimana cara masak sapi,cari_resep
mau masak ayam yang rica rica tapi tanpa tepung,cari_resep_kompleks
lagi maag nih,informasi_kondisi_kesehatan
mau sapi yang lembut dan balado ga boleh gula,cari_resep_kompleks
udang bisa diganti apa,tanya_alternatif
daging bisa diganti apa,tanya_alternatif
saya punya alergi,informasi_kondisi_kesehatan
mau masak telor yang rica rica tapi tanpa tepung,cari_resep_kompleks
resep udang empuk,cari_resep
cara gulai yang benar gimana,tanya_informasi
kalori tempe berapa,tanya_informasi
ada diet ga boleh apa,informasi_kondisi_kesehatan
mau masak bihun yang balado tapi tanpa gula,cari_resep_kompleks
vegetarian pantangannya apa,informasi_kondisi_kesehatan
cara gulai yang benar gimana,tanya_informasi
ada kolesterol ga boleh apa,informasi_kondisi_kesehatan
lagi hipertensi nih,informasi_kondisi_kesehatan
pengen kentang oseng,cari_resep
pengen sapi rebus,cari_resep
saya punya maag,informasi_kondisi_kesehatan
saya punya hipertensi,informasi_kondisi_kesehatan
tempe kandungannya apa,tanya_informasi
bedanya bakar sama rebus,tanya_informasi
tempe yang gurih dong,cari_resep
cariin resep udang,cari_resep
mau masak ikan yang gulai,cari_resep
pengen salmon rebus,cari_resep
punya maag boleh makan apa,informasi_kondisi_kesehatan
mau masak telor,cari_resep
ga ada wortel bisa pake apa,tanya_alternatif
ada maag ga boleh apa,informasi_kondisi_kesehatan
bedanya oseng sama bakar,tanya_informasi
mau mie yang manis dan oseng ga boleh minyak,cari_resep_kompleks
telur tumis tanpa garam untuk maag,cari_resep_kompleks
cara oseng yang benar gimana,tanya_informasi
ada vegetarian ga boleh apa,informasi_kondisi_kesehatan
bikin wortel balado buat diabetes tanpa minyak,cari_resep_kompleks
pengen kentang oseng,cari_resep
pengganti telor,tanya_alternatif
pengen tempe rendang,cari_resep
bikin mie pake panggang,cari_resep
jagung bisa diganti apa,tanya_alternatif
mau masak wortel yang rebus,cari_resep
resep brokoli yang enak,cari_resep
pengen kangkung gurih ga pake mentega,cari_resep_kompleks
ada resep kentang ga,cari_resep
kentang bisa diganti apa,tanya_alternatif
cariin resep wortel,cari_resep
resep mie yang enak,cari_resep
resep telor yang enak,cari_resep
saya punya diet,informasi_kondisi_kesehatan
siap,chitchat
ada maag ga boleh apa,informasi_kondisi_kesehatan
diabetes pantangannya apa,informasi_kondisi_kesehatan
salmon kandungannya apa,tanya_informasi
cara balado yang benar gimana,tanya_informasi
tempe balado tanpa kacang untuk diabetes,cari_resep_kompleks
bikin daging rebus buat alergi tanpa tepung,cari_resep_kompleks
brokoli bisa diganti apa,tanya_alternatif
substitusi pasta dengan apa,tanya_alternatif
bikin cumi pake tumis,cari_resep
ga ada mie bisa pake apa,tanya_alternatif
mau masak ikan yang tumis,cari_resep
substitusi cumi dengan apa,tanya_alternatif
bedanya pepes sama panggang,tanya_informasi
nutrisi nasi,tanya_informasi
resep tahu segar,cari_resep
resep pasta asin,cari_resep
daging oseng tanpa minyak untuk hipertensi,cari_resep_kompleks
mau udang yang crispy dan gulai ga boleh mentega,cari_resep_kompleks
mau masak kwetiau,cari_resep
gimana cara masak udang,cari_resep
bikin bayam rebus buat hipertensi tanpa susu,cari_resep_kompleks
udang kandungannya apa,tanya_informasi
resep udang rendang yang pedas,cari_resep_kompleks
pengen salmon tumis,cari_resep
nutrisi salmon,tanya_informasi
nutrisi telur,tanya_informasi
mie kandungannya apa,tanya_informasi
saya punya alergi,informasi_kondisi_kesehatan
mau masak ayam yang bakar tapi tanpa msg,cari_resep_kompleks
aku hipertensi,informasi_kondisi_kesehatan
kentang yang manis dong,cari_resep
ga ada mie bisa pake apa,tanya_alternatif
mau masak telor,cari_resep
kwetiau bisa diganti apa,tanya_alternatif
bedanya bakar sama gulai,tanya_informasi
cariin resep wortel,cari_resep
bikin daging bakar buat vegetarian tanpa kacang,cari_resep_kompleks
cariin resep tempe,cari_resep
baik,chitchat
alternatif cumi apa ya,tanya_alternatif
thanks,chitchat
pengen daging goreng,cari_resep
apa bedanya,tanya_informasi
punya diet boleh makan apa,informasi_kondisi_kesehatan
gimana cara masak telor,cari_resep
nutrisi pasta,tanya_informasi
wortel kandungannya apa,tanya_informasi
bedanya oseng sama rendang,tanya_informasi
pengen bikin salmon,cari_resep
resep nasi yang enak,cari_resep
mau masak tahu yang bakar,cari_resep
gimana cara masak udang,cari_resep
cara tumis yang benar gimana,tanya_informasi
kalori cumi berapa,tanya_informasi
punya diet boleh makan apa,informasi_kondisi_kesehatan
mau kwetiau yang asam dan kukus ga boleh keju,cari_resep_kompleks
mau masak ikan,cari_resep
pengen bikin salmon,cari_resep
ada resep kentang ga,cari_resep
punya vegetarian boleh makan apa,informasi_kondisi_kesehatan
mau udang yang empuk dan goreng ga boleh kacang,cari_resep_kompleks
bikin jagung kukus buat maag tanpa mentega,cari_resep_kompleks
resep cumi oseng yang asam,cari_resep_kompleks
mau masak telur yang pepes,cari_resep
ada resep telor ga,cari_resep
resep salmon yang enak,cari_resep
cariin resep wortel,cari_resep
gimana cara masak tahu,cari_resep
saya punya kolesterol,informasi_kondisi_kesehatan
jagung pepes tanpa mentega untuk diet,cari_resep_kompleks
mau masak salmon yang kukus,cari_resep
kalori mie berapa,tanya_informasi
bikin pasta pake kukus,cari_resep
resep telur lembut,cari_resep
kalori sapi berapa,tanya_informasi
brokoli yang lembut dong,cari_resep
lagi maag nih,informasi_kondisi_kesehatan
kwetiau oseng tanpa garam untuk vegetarian,cari_resep_kompleks
sampai kapan,tanya_informasi
pengen ayam tumis,cari_resep
ada kolesterol ga boleh apa,informasi_kondisi_kesehatan
substitusi bayam dengan apa,tanya_alternatif
lagi asam urat nih,informasi_kondisi_kesehatan
mau dong,chitchat
punya maag boleh makan apa,informasi_kondisi_kesehatan
tahu kandungannya apa,tanya_informasi
cariin resep tempe,cari_resep
bikin tempe balado buat kolesterol tanpa tepung,cari_resep_kompleks
mau masak salmon yang tumis,cari_resep
cariin resep udang,cari_resep
salmon bisa diganti apa,tanya_alternatif
substitusi sapi dengan apa,tanya_alternatif
ada maag ga boleh apa,informasi_kondisi_kesehatan
cara tumis yang benar gimana,tanya_informasi
nutrisi kwetiau,tanya_informasi
aku diabetes,informasi_kondisi_kesehatan
