text,entities
"mau masak ayam goreng","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 10, 'end': 14}, {'entity': 'TEKNIK_MASAK', 'value': 'goreng', 'start': 15, 'end': 21}]"
"pengen bikin rendang sapi","[{'entity': 'TEKNIK_MASAK', 'value': 'rendang', 'start': 13, 'end': 20}, {'entity': 'BAHAN_UTAMA', 'value': 'sapi', 'start': 21, 'end': 25}]"
"ada resep ikan bakar ga","[{'entity': 'BAHAN_UTAMA', 'value': 'ikan', 'start': 10, 'end': 14}, {'entity': 'TEKNIK_MASAK', 'value': 'bakar', 'start': 15, 'end': 20}]"
"cariin resep sayur asem dong","[{'entity': 'BAHAN_UTAMA', 'value': 'sayur', 'start': 14, 'end': 19}]"
"mau masak udang yang gak pake santan","[{'entity': 'BAHAN_UTAMA', 'value': 'udang', 'start': 10, 'end': 15}, {'entity': 'BAHAN_HINDARI', 'value': 'santan', 'start': 30, 'end': 36}]"
"pengen bikin pasta tanpa keju","[{'entity': 'BAHAN_UTAMA', 'value': 'pasta', 'start': 13, 'end': 18}, {'entity': 'BAHAN_HINDARI', 'value': 'keju', 'start': 25, 'end': 29}]"
"masak ayam tanpa minyak","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 6, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'minyak', 'start': 17, 'end': 23}]"
"aku diabetes jadi ga boleh gula","[{'entity': 'KONDISI_KESEHATAN', 'value': 'diabetes', 'start': 4, 'end': 12}, {'entity': 'BAHAN_HINDARI', 'value': 'gula', 'start': 27, 'end': 31}]"
"kolesterol tinggi ga bisa santan","[{'entity': 'KONDISI_KESEHATAN', 'value': 'kolesterol', 'start': 0, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'santan', 'start': 26, 'end': 32}]"
"alergi seafood jadi ga makan udang","[{'entity': 'KONDISI_KESEHATAN', 'value': 'alergi seafood', 'start': 0, 'end': 14}, {'entity': 'BAHAN_HINDARI', 'value': 'udang', 'start': 29, 'end': 34}]"
"pengen yang pedas banget","[{'entity': 'PREFERENSI_RASA', 'value': 'pedas', 'start': 11, 'end': 16}]"
"mau yang manis gurih","[{'entity': 'PREFERENSI_RASA', 'value': 'manis', 'start': 8, 'end': 13}, {'entity': 'PREFERENSI_RASA', 'value': 'gurih', 'start': 14, 'end': 19}]"
"yang seger seger aja","[{'entity': 'PREFERENSI_RASA', 'value': 'segar', 'start': 5, 'end': 10}]"
"mau yang berkuah","[{'entity': 'TEKNIK_MASAK', 'value': 'berkuah', 'start': 9, 'end': 16}]"
"pengen yang digoreng crispy","[{'entity': 'TEKNIK_MASAK', 'value': 'goreng', 'start': 12, 'end': 18}]"
"masak yang direbus aja biar sehat","[{'entity': 'TEKNIK_MASAK', 'value': 'rebus', 'start': 12, 'end': 17}]"
"bikin tumis kangkung","[{'entity': 'TEKNIK_MASAK', 'value': 'tumis', 'start': 6, 'end': 11}, {'entity': 'BAHAN_UTAMA', 'value': 'kangkung', 'start': 12, 'end': 20}]"
"ayam panggang tanpa garam","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 0, 'end': 4}, {'entity': 'TEKNIK_MASAK', 'value': 'panggang', 'start': 5, 'end': 13}, {'entity': 'BAHAN_HINDARI', 'value': 'garam', 'start': 20, 'end': 25}]"
"masakan vegetarian tanpa daging","[{'entity': 'KONDISI_KESEHATAN', 'value': 'vegetarian', 'start': 8, 'end': 18}, {'entity': 'BAHAN_HINDARI', 'value': 'daging', 'start': 25, 'end': 31}]"
"resep untuk maag yang ga pedas","[{'entity': 'KONDISI_KESEHATAN', 'value': 'maag', 'start': 12, 'end': 16}, {'entity': 'PREFERENSI_RASA', 'value': 'tidak pedas', 'start': 21, 'end': 31}]"
"diet rendah kalori tanpa gorengan","[{'entity': 'KONDISI_KESEHATAN', 'value': 'diet rendah kalori', 'start': 0, 'end': 18}, {'entity': 'TEKNIK_MASAK', 'value': 'tidak goreng', 'start': 25, 'end': 34}]"
"asam urat ga boleh bayam dan melinjo","[{'entity': 'KONDISI_KESEHATAN', 'value': 'asam urat', 'start': 0, 'end': 9}, {'entity': 'BAHAN_HINDARI', 'value': 'bayam', 'start': 21, 'end': 26}, {'entity': 'BAHAN_HINDARI', 'value': 'melinjo', 'start': 31, 'end': 38}]"
"bikin sup ayam pake wortel dan kentang","[{'entity': 'TEKNIK_MASAK', 'value': 'sup', 'start': 6, 'end': 9}, {'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 10, 'end': 14}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'wortel', 'start': 20, 'end': 26}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'kentang', 'start': 31, 'end': 38}]"
"rendang sapi tanpa santan bisa ga","[{'entity': 'TEKNIK_MASAK', 'value': 'rendang', 'start': 0, 'end': 7}, {'entity': 'BAHAN_UTAMA', 'value': 'sapi', 'start': 8, 'end': 12}, {'entity': 'BAHAN_HINDARI', 'value': 'santan', 'start': 19, 'end': 25}]"
"pasta carbonara dairy free","[{'entity': 'BAHAN_UTAMA', 'value': 'pasta', 'start': 0, 'end': 5}, {'entity': 'KONDISI_KESEHATAN', 'value': 'alergi dairy', 'start': 16, 'end': 27}]"
"ikan salmon dipanggang dengan lemon","[{'entity': 'BAHAN_UTAMA', 'value': 'ikan salmon', 'start': 0, 'end': 11}, {'entity': 'TEKNIK_MASAK', 'value': 'panggang', 'start': 13, 'end': 21}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'lemon', 'start': 29, 'end': 34}]"
"mau bikin gado gado tanpa kacang","[{'entity': 'BAHAN_UTAMA', 'value': 'gado gado', 'start': 9, 'end': 18}, {'entity': 'BAHAN_HINDARI', 'value': 'kacang', 'start': 25, 'end': 31}]"
"tahu goreng tepung yang crispy","[{'entity': 'BAHAN_UTAMA', 'value': 'tahu', 'start': 0, 'end': 4}, {'entity': 'TEKNIK_MASAK', 'value': 'goreng tepung', 'start': 5, 'end': 18}]"
"sate ayam tanpa tusuk sate","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 5, 'end': 9}]"
"masak tempe orek manis pedas","[{'entity': 'BAHAN_UTAMA', 'value': 'tempe', 'start': 6, 'end': 11}, {'entity': 'PREFERENSI_RASA', 'value': 'manis', 'start': 17, 'end': 22}, {'entity': 'PREFERENSI_RASA', 'value': 'pedas', 'start': 23, 'end': 28}]"
"capcay kuah dengan bakso ikan","[{'entity': 'BAHAN_UTAMA', 'value': 'capcay', 'start': 0, 'end': 6}, {'entity': 'TEKNIK_MASAK', 'value': 'kuah', 'start': 7, 'end': 11}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'bakso ikan', 'start': 19, 'end': 29}]"
"ayam rica rica yang super pedas","[{'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 0, 'end': 4}, {'entity': 'TEKNIK_MASAK', 'value': 'rica rica', 'start': 5, 'end': 14}, {'entity': 'PREFERENSI_RASA', 'value': 'pedas', 'start': 26, 'end': 31}]"
"tumis brokoli bawang putih tanpa msg","[{'entity': 'TEKNIK_MASAK', 'value': 'tumis', 'start': 0, 'end': 5}, {'entity': 'BAHAN_UTAMA', 'value': 'brokoli', 'start': 6, 'end': 13}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'bawang putih', 'start': 14, 'end': 26}, {'entity': 'BAHAN_HINDARI', 'value': 'msg', 'start': 33, 'end': 36}]"
"nasi goreng seafood tanpa telur","[{'entity': 'BAHAN_UTAMA', 'value': 'nasi goreng', 'start': 0, 'end': 11}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'seafood', 'start': 12, 'end': 19}, {'entity': 'BAHAN_HINDARI', 'value': 'telur', 'start': 26, 'end': 31}]"
"pepes ikan dengan daun kemangi","[{'entity': 'TEKNIK_MASAK', 'value': 'pepes', 'start': 0, 'end': 5}, {'entity': 'BAHAN_UTAMA', 'value': 'ikan', 'start': 6, 'end': 10}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'daun kemangi', 'start': 18, 'end': 30}]"
"sop buntut yang ga pake msg","[{'entity': 'BAHAN_UTAMA', 'value': 'sop buntut', 'start': 0, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'msg', 'start': 24, 'end': 27}]"
"gulai ikan tanpa santan kental","[{'entity': 'TEKNIK_MASAK', 'value': 'gulai', 'start': 0, 'end': 5}, {'entity': 'BAHAN_UTAMA', 'value': 'ikan', 'start': 6, 'end': 10}, {'entity': 'BAHAN_HINDARI', 'value': 'santan kental', 'start': 17, 'end': 30}]"
"salad sayur dengan dressing yogurt","[{'entity': 'BAHAN_UTAMA', 'value': 'salad sayur', 'start': 0, 'end': 11}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'yogurt', 'start': 28, 'end': 34}]"
"smoothie bowl pisang alpukat","[{'entity': 'BAHAN_UTAMA', 'value': 'smoothie bowl', 'start': 0, 'end': 13}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'pisang', 'start': 14, 'end': 20}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'alpukat', 'start': 21, 'end': 28}]"
"oatmeal dengan madu dan kacang almond","[{'entity': 'BAHAN_UTAMA', 'value': 'oatmeal', 'start': 0, 'end': 7}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'madu', 'start': 15, 'end': 19}, {'entity': 'BAHAN_TAMBAHAN', 'value': 'kacang almond', 'start': 24, 'end': 37}]"
"kari ayam tanpa garam untuk hipertensi","[{'entity': 'TEKNIK_MASAK', 'value': 'kari', 'start': 0, 'end': 4}, {'entity': 'BAHAN_UTAMA', 'value': 'ayam', 'start': 5, 'end': 9}, {'entity': 'BAHAN_HINDARI', 'value': 'garam', 'start': 16, 'end': 21}, {'entity': 'KONDISI_KESEHATAN', 'value': 'hipertensi', 'start': 28, 'end': 38}]"
"brownies kukus tanpa oven dan mixer","[{'entity': 'BAHAN_UTAMA', 'value': 'brownies', 'start': 0, 'end': 8}, {'entity': 'TEKNIK_MASAK', 'value': 'kukus', 'start': 9, 'end': 14}]"
"martabak manis tanpa telur","[{'entity': 'BAHAN_UTAMA', 'value': 'martabak manis', 'start': 0, 'end': 14}, {'entity': 'BAHAN_HINDARI', 'value': 'telur', 'start': 21, 'end': 26}]"
"bakwan jagung tanpa tepung terigu","[{'entity': 'BAHAN_UTAMA', 'value': 'bakwan jagung', 'start': 0, 'end': 13}, {'entity': 'BAHAN_HINDARI', 'value': 'tepung terigu', 'start': 20, 'end': 33}]"
